tag,min,max,echelon,cycletime
"DB101,REAL184",0,1800,0.5,2000
"DB101,REAL14",0,1800,0.5,2000
"DB151,REAL14",0,100,1,2000
"DB201,REAL184",0,20,0.5,2000
"DB201,REAL14",0,20,0.5,2000
"DB251,REAL14",0,100,1,2000
"DB102,REAL184",0,1800,0.5,2000
"DB102,REAL14",0,1800,0.5,2000
"DB152,REAL14",0,100,1,2000
"DB202,REAL184",0,20,0.5,2000
"DB202,REAL14",0,20,0.5,2000
"DB252,REAL14",0,100,1,2000
"DB103,REAL184",0,1800,0.5,2000
"DB103,REAL14",0,1800,0.5,2000
"DB153,REAL14",0,100,1,2000
"DB203,REAL184",0,20,0.5,2000
"DB203,REAL14",0,20,0.5,2000
"DB253,REAL14",0,100,1,2000
"DB104,REAL184",0,1800,0.5,2000
"DB104,REAL14",0,1800,0.5,2000
"DB154,REAL14",0,100,1,2000
"DB204,REAL184",0,20,0.5,2000
"DB204,REAL14",0,20,0.5,2000
"DB254,REAL14",0,100,1,2000
"DB105,REAL184",0,1800,0.5,2000
"DB105,REAL14",0,1800,0.5,2000
"DB155,REAL14",0,100,1,2000
"DB205,REAL184",0,20,0.5,2000
"DB205,REAL14",0,20,0.5,2000
"DB255,REAL14",0,100,1,2000
"DB302,REAL184",0,1400,0.5,2000
"DB302,REAL14",0,1400,0.5,2000
"DB352,REAL14",0,100,1,3000
"DB303,REAL6",0,10,0.1,3000
"DB303,REAL14",0,10,0.1,3000
"DB303,REAL116",0,100,1,3000
"DB304,REAL184",0,1400,0.5,3000
"DB304,REAL14",0,1800,0.5,3000
"DB354,REAL14",0,100,1,3000
"DB301,REAL112",-50,50,0.1,3000
"DB301,REAL14",-50,50,0.1,3000
"DB301,REAL116",0,100,1,3000
"DB305,REAL184",0,1400,0.5,3000
"DB2,REAL448",0,1400,0.5,3000
"DB355,REAL14",0,100,1,3000
"DB307,REAL6",0,10,0.1,3000
"DB307,REAL14",0,10,0.1,3000
"DB357,REAL14",0,100,1,3000
"DB308,REAL184",0,1400,0.5,3000
"DB308,REAL14",0,1400,0.5,3000
"DB358,REAL14",0,100,1,3000
"DB306,REAL184",0,21,0.1,3000
"DB306,REAL14",0,21,0.1,3000
"DB356,REAL14",0,100,1,3000
"DB309,REAL112",0,1400,0.1,3000
"DB309,REAL14",0,1400,0.1,3000
"DB309,REAL116",0,100,1,3000
"DB201,REAL18",0,100,1,3000
"DB201,REAL22",0,1500,1,3000
"DB202,REAL18",0,100,1,3000
"DB202,REAL22",0,1500,1,3000
"DB203,REAL18",0,100,1,3000
"DB203,REAL22",0,1500,1,3000
"DB204,REAL18",0,100,1,3000
"DB204,REAL22",0,1500,1,3000
"DB205,REAL18",0,100,1,3000
"DB205,REAL22",0,1500,1,3000
"DB2,DWORD148",0,100000,1,3000
"DB2,REAL452",0,200,1,3000
"DB2,REAL456",0,100,1,3000
"DB2,REAL204",0,100,0.1,3000
"DB2,REAL208",0,100,0.1,3000
"DB2,REAL176",0,100,0.1,3000
"DB2,REAL180",0,100,0.1,3000
"DB2,REAL320",0,100,0.1,3000
"DB2,REAL340",0,1800,1,3000
"DB2,REAL344",0,1800,1,3000
"DB2,REAL348",0,1800,1,3000
"DB2,REAL352",0,1800,1,3000
"DB2,REAL356",0,1800,1,3000
"DB2,REAL364",0,1800,1,3000
"DB2,REAL368",0,1800,1,3000
"DB2,REAL388",0,1800,1,3000
"DB2,REAL392",0,1800,1,3000
"DB2,REAL396",0,1800,1,3000
"DB2,REAL400",0,1800,1,3000
"DB2,REAL404",0,1800,1,3000
"DB2,REAL408",0,1800,1,3000
"DB60,INT258",0,10,1,3000
"DB60,X148.0",0,1,1,3000
"DB354,X0.0",0,1,1,3000
"DB354,X4.0",0,1,1,3000
"DB354,X4.1",0,1,1,3000
"DB60,INT42",0,10,1,3000
"DB60,INT546",0,10,1,3000
"DB60,X4.0",0,1,1,3000
"DB60,X40.0",0,1,1,3000
"DB60,X544.0",0,1,1,3000
